Duration,Distance,OriginalPace,HeartRate,Cadence,PowerOriginal,CalculatedPace,CalculatedStrideLength,CalculatedAerobicEfficiencyPace,CalculatedAerobicEfficiencyPower,CalculatedEfficiencyIndex,
1,0,,93,,,,0,,,,
1,0,,94,0,0,,0,,,,
1,0,,94,0,0,,0,,,,
1,0,,96,0,0,,0,,,,
1,0,,96,0,0,,0,,,,
1,0,,97,0,0,,0,,,,
1,0,,99,0,0,,0,,,,
1,0,,99,0,0,,0,,,,
1,0,,98,0,0,,0,,,,
1,0,,96,0,0,,0,,,,
1,0,,96,0,0,,0,,,,
1,0,,97,0,0,,0,,,,
1,0,,99,0,0,,0,,,,
1,0,,100,0,0,,0,,,,
1,0,,99,0,0,,0,,,,
1,0,,98,0,0,,0,,,,
1,0,,98,0,0,,0,,,,
1,0,,97,0,0,,0,,,,
1,0,,96,0,0,,0,,,,
1,0,,97,0,0,,0,,,,
1,0,,99,0,0,,0,,,,
1,0,,99,0,0,,0,,,,
1,0,,99,0,0,,0,,,,
1,0,,98,0,0,,0,,,,
1,0,,96,0,0,,0,,,,
1,0.00024,4484,90,0,0,,0,0.12,,,
1,0.001,1079,90,0,0,,0,0.48,,,
1,0.00176,613,93,0,0,,0,0.82,,,
1,0.00252,428,97,0,0,,0,1.13,,,
1,0.00327,329,102,0,0,,0,1.4,,,
1,0.00403,267,105,0,0,,0,1.68,,,
1,0.00479,225,107,0,0,,0,1.95,,,
1,0.00555,194,109,0,0,,0,2.22,,,
1,0.00722,169,107,0,0,,0,2.6,,,
1,0.01488,148,106,13,198,,1559,3,1.87,2.048,
1,0.02183,144,107,54,174,,386,3.05,1.63,2.395,
1,0.0282,147,108,98,151,,208,2.96,1.4,2.703,
1,0.03457,151,110,99,119,,201,2.83,1.08,3.339,
1,0.04093,163,112,81,69,,227,2.57,0.62,5.335,
1,0.0473,172,114,63,13,,277,2.4,0.11,26.834,
1,0.05303,181,115,46,0,,360,2.26,,,
1,0.05762,189,115,31,0,,512,2.16,,,
1,0.06265,198,115,16,0,,947,2.06,,,
1,0.06619,207,114,0,0,,0,1.99,,,
1,0.07044,218,114,0,0,,0,1.89,,,
1,0.07534,232,113,0,0,,0,1.79,,,
1,0.07899,245,114,0,0,,0,1.68,,,
1,0.08399,266,114,0,0,,0,1.55,,,
1,0.08759,286,114,0,0,,0,1.44,,,
1,0.09002,304,113,0,0,,0,1.37,,,
1,0.09305,320,112,0,0,,0,1.31,,,
1,0.09562,351,112,0,0,,0,1.2,,,
1,0.09774,375,113,0,0,,0,1.11,,,
1,0.09986,404,113,0,0,,0,1.03,,,
1,0.10198,440,114,0,0,,0,0.94,,,
1,0.10411,486,115,0,0,,0,0.84,,,
1,0.10623,549,116,0,0,,0,0.74,,,
1,0.10815,632,116,0,0,,0,0.64,,,
1,0.10967,728,116,0,0,,0,0.56,,,
1,0.11065,831,116,0,0,,0,0.49,,,
1,0.11161,969,109,0,0,,0,0.44,,,
1,0.11178,1304,106,0,0,,0,0.34,,,
1,0.11178,2079,103,0,0,,0,0.22,,,
1,0.11178,5128,96,0,0,,0,0.1,,,
1,0.11178,,95,0,0,,0,,,,
1,0.11178,,96,0,0,,0,,,,
1,0.11178,,98,0,0,,0,,,,
1,0.11178,,101,0,0,,0,,,,
1,0.11178,,103,0,0,,0,,,,
1,0.11178,,105,0,0,,0,,,,
1,0.11178,,105,0,0,,0,,,,
1,0.11178,,105,0,0,,0,,,,
1,0.11178,,103,0,0,,0,,,,
